455345,455345,22.3015721398,114.1903046274,4.1754825155
455346,455346,22.3015724041,114.1903041003,4.1363052116
455347,455347,22.3015734219,114.1903022988,4.2253082266
455348,455348,22.3015761790,114.1902972041,4.2803163880
455349,455349,22.3015793403,114.1902890069,4.3660666417
455350,455350,22.3015819270,114.1902766909,4.3018357164
455351,455351,22.3015858304,114.1902633428,4.4799351845
455352,455352,22.3015942808,114.1902524327,4.5380973981
455353,455353,22.3016065817,114.1902427776,4.4956272875
455354,455354,22.3016205928,114.1902343695,4.5637204842
455355,455355,22.3016372997,114.1902257390,4.6181465487
455356,455356,22.3016568864,114.1902153126,4.7093653472
455357,455357,22.3016834037,114.1902010226,4.7289437209
455358,455358,22.3017169184,114.1901844166,4.7801765551
455359,455359,22.3017548728,114.1901660335,4.7488262663
455360,455360,22.3017969166,114.1901460672,4.8191881623
455361,455361,22.3018432927,114.1901239255,4.7804747926
455362,455362,22.3018935361,114.1901013272,4.8452313713
455363,455363,22.3019459646,114.1900745297,4.7888313215
455364,455364,22.3019980705,114.1900475572,4.6320395928
455365,455365,22.3020487938,114.1900214364,4.7484040014
455366,455366,22.3020981879,114.1899959951,4.5645333086
455367,455367,22.3021430924,114.1899660489,5.3308166772
455368,455368,22.3021899662,114.1899384375,5.3922894563
455369,455369,22.3022309357,114.1899093908,5.5905863395
455370,455370,22.3022651893,114.1898735221,5.7604902727
455371,455371,22.3022918777,114.1898340683,5.3994402071
455372,455372,22.3023045706,114.1897902723,5.3573869935
455373,455373,22.3023113191,114.1897485224,4.6135809605
455374,455374,22.3023070809,114.1897064504,4.2564898208
455375,455375,22.3022917615,114.1896653591,4.0230605934
455376,455376,22.3022700857,114.1896282932,3.9209112093
455377,455377,22.3022470432,114.1895926932,3.9310544986
455378,455378,22.3022236939,114.1895567806,4.0797807572
455379,455379,22.3022022022,114.1895227223,3.9213905600
455380,455380,22.3021809042,114.1894912951,3.7013360593
455381,455381,22.3021630437,114.1894663082,3.1007748920
455382,455382,22.3021443751,114.1894389084,2.8866927254
455383,455383,22.3021244097,114.1894110883,2.3618259502
455384,455384,22.3021024827,114.1893806825,2.0145377871
455385,455385,22.3020819089,114.1893453605,2.4056279031
455386,455386,22.3020611904,114.1893057134,2.3472467274
455387,455387,22.3020444149,114.1892590867,2.1476302213
455388,455388,22.3020346567,114.1892117578,2.2839625197
455389,455389,22.3020366555,114.1891614383,2.5969530923
455390,455390,22.3020478735,114.1891119975,3.6236813331
455391,455391,22.3020484247,114.1890433176,0.3752639606
455392,455392,22.3020804031,114.1889909858,1.2536123038
455393,455393,22.3021275299,114.1889448039,4.4594378039
455394,455394,22.3021620784,114.1889000145,5.8266436712
455395,455395,22.3022082900,114.1888646771,10.3906620676
455396,455396,22.3022228473,114.1888280996,9.2808937822
455397,455397,22.3022310096,114.1888009977,8.4909898246
455398,455398,22.3022358781,114.1887829686,7.9873539501
455399,455399,22.3022385729,114.1887691251,7.6845784766
455400,455400,22.3022408870,114.1887537930,7.5439175955
455401,455401,22.3022428524,114.1887381726,7.9948198655
455402,455402,22.3022398928,114.1887258722,8.2924479744
455403,455403,22.3022304606,114.1887160331,8.5333589404
455404,455404,22.3022225675,114.1887137060,8.1232347438
455405,455405,22.3022199208,114.1887142471,7.2700541190
455406,455406,22.3022174310,114.1887145432,6.2720398988
455407,455407,22.3022148410,114.1887141456,5.2244141763
455408,455408,22.3022114168,114.1887133007,4.0972596154
455409,455409,22.3022123162,114.1887142978,4.2501973185
455410,455410,22.3022128057,114.1887146449,4.2581893795
455411,455411,22.3022129112,114.1887143751,4.2961367584
455412,455412,22.3022130286,114.1887140478,4.3120609340
455413,455413,22.3022129330,114.1887140977,4.4276102303
455414,455414,22.3022129708,114.1887137072,4.3812458353
455415,455415,22.3022127171,114.1887136422,4.4377562743
455416,455416,22.3022121494,114.1887134857,4.4027173463
455417,455417,22.3022118874,114.1887134835,4.3562376077
455418,455418,22.3022116362,114.1887129744,4.1638472903
455419,455419,22.3022114766,114.1887124961,4.1490479692
455420,455420,22.3022110768,114.1887121720,4.1014472398
455421,455421,22.3022112697,114.1887122976,4.1089881887
455422,455422,22.3022105066,114.1887117905,4.0323668512
455423,455423,22.3022099788,114.1887112761,3.9103900306
455424,455424,22.3022087974,114.1887105775,3.7296416277
455425,455425,22.3022083109,114.1887101891,3.5920334254
455426,455426,22.3022076794,114.1887100590,3.4470437746
455427,455427,22.3022072551,114.1887102095,3.4612777445
455428,455428,22.3022069527,114.1887096175,3.3953210261
455429,455429,22.3022062201,114.1887091138,3.2265779321
455430,455430,22.3022055557,114.1887084579,3.1358922118
455431,455431,22.3022051384,114.1887076682,3.0617111156
455432,455432,22.3022046872,114.1887074656,3.0428768172
455433,455433,22.3022034764,114.1887070847,2.8412472168
455434,455434,22.3022027343,114.1887063654,2.8096416721
455435,455435,22.3022022186,114.1887054844,2.6638635643
455436,455436,22.3022013329,114.1887047310,2.6684028226
455437,455437,22.3022004251,114.1887039299,2.5533510591
455438,455438,22.3021998348,114.1887030091,2.5681760885
455439,455439,22.3021987761,114.1887019310,2.6606161713
